api,section,endpoint,block,parameter,value_type,required,props,max,description,doc_url
messaging-api,Managing Audience,Create message impression audience,Request headers,Content-Type,application/json,true,required,,,https://developers.line.biz/en/reference/messaging-api/#create-message-impression-audience
messaging-api,Managing Audience,Create message impression audience,Request body,description,String,true,required,120,"The audience's name. This is case-insensitive, meaning AUDIENCE and audience are considered identical. Max character limit: 120",https://developers.line.biz/en/reference/messaging-api/#create-message-impression-audience
messaging-api,Managing Audience,Create message impression audience,Request body,requestId,String,true,required,,The request ID of a broadcast or narrowcast message sent in the past 60 days. Each Messaging API request has a request ID. Find it in the response headers.,https://developers.line.biz/en/reference/messaging-api/#create-message-impression-audience
messaging-api,Managing Audience,Create message impression audience,Response,audienceGroupId,Number,,,,The audience ID.,https://developers.line.biz/en/reference/messaging-api/#create-message-impression-audience
messaging-api,Managing Audience,Create message impression audience,Response,createRoute,String,,,,How the audience was created. - MESSAGING_API: Audiences created with Messaging API.,https://developers.line.biz/en/reference/messaging-api/#create-message-impression-audience
messaging-api,Managing Audience,Create message impression audience,Response,type,String,,,,The audience type. - IMP: Message impression audience.,https://developers.line.biz/en/reference/messaging-api/#create-message-impression-audience
messaging-api,Managing Audience,Create message impression audience,Response,description,String,,,,The audience's name.,https://developers.line.biz/en/reference/messaging-api/#create-message-impression-audience
messaging-api,Managing Audience,Create message impression audience,Response,created,Number,,,,When the audience was created in UNIX time (in seconds).,https://developers.line.biz/en/reference/messaging-api/#create-message-impression-audience
messaging-api,Managing Audience,Create message impression audience,Response,permission,String,,,,Update permissions for the created audience. - READ_WRITE: Can use and update the audience.,https://developers.line.biz/en/reference/messaging-api/#create-message-impression-audience
messaging-api,Managing Audience,Create message impression audience,Response,expireTimestamp,Number,,,,Audience expiration time in UNIX time (in seconds),https://developers.line.biz/en/reference/messaging-api/#create-message-impression-audience
messaging-api,Managing Audience,Create message impression audience,Response,isIfaAudience,Boolean,,,,"The value indicating the type of account to be sent, as specified when creating the audience for uploading user IDs. One of: - true: Accounts are specified with IFAs. - false (default): Accounts are specified with user IDs.",https://developers.line.biz/en/reference/messaging-api/#create-message-impression-audience
messaging-api,Managing Audience,Create message impression audience,Response,requestId,String,,,,The request ID that was specified when the audience was created.,https://developers.line.biz/en/reference/messaging-api/#create-message-impression-audience
messaging-api,Managing Audience,Rename an audience,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#rename-an-audience
messaging-api,Managing Audience,Rename an audience,Request headers,Content-Type,application/json,true,required,,,https://developers.line.biz/en/reference/messaging-api/#rename-an-audience
messaging-api,Managing Audience,Rename an audience,Path parameters,audienceGroupId,The audience ID.,true,required,,,https://developers.line.biz/en/reference/messaging-api/#rename-an-audience
messaging-api,Managing Audience,Rename an audience,Request body,description,String,true,required,120,"The audience's name. This is case-insensitive, meaning AUDIENCE and audience are considered identical. Max character limit: 120",https://developers.line.biz/en/reference/messaging-api/#rename-an-audience
messaging-api,Managing Audience,Delete audience,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#delete-audience
messaging-api,Managing Audience,Delete audience,Path parameters,audienceGroupId,The audience ID.,true,required,,,https://developers.line.biz/en/reference/messaging-api/#delete-audience
messaging-api,Managing Audience,Get audience data,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Path parameters,audienceGroupId,The audience ID.,true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup,Object,,,,Audience group object.,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup.audienceGroupId,Number,,,,The audience ID.,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup.createRoute,String,,,,How the audience was created. One of: - OA_MANAGER: Audience created with LINE Official Account Manager - MESSAGING_API: Audience created with Messaging API - POINT_AD: Audience created with LINE Points Ads (Japanese only) - AD_MANAGER: Audience created with LINE Ads,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup.type,String,,,,The audience type. One of: - UPLOAD: An audience used for uploading user IDs - CLICK: Message click audience - IMP: Message impression audience - CHAT_TAG: Chat tag audience - FRIEND_PATH: Friend path audience - RESERVATION: Reservation audience - RICHMENU_IMP: Rich menu impression audience - RICHMENU_CLICK: Rich menu click audience - APP_EVENT: App event audience - VIDEO_VIEW: Video view audience - WEBTRAFFIC: Web traffic audience (LINE Tag) - TRACKINGTAG_WEBTRAFFIC: Web traffic audience (Tracking Tag) - IMAGE_CLICK: Image click audience - POP_AD_IMP: LINE Beacon Network ad impression audienc,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup.description,String,,,,The audience's name.,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup.status,String,,,,"The audience's status. One of: - IN_PROGRESS: Pending. It may take several hours for the status to change to READY. If the number of users included in the audience is insufficient (at least 50 are required) for an audience with a user count restriction, the status will remain IN_PROGRESS and won't be updated. - READY: Ready to accept messages (). - FAILED: An error occurred while creating the audience. - EXPIRED: Expired. Audiences are automatically deleted a month after they expire. - INACTIVE: The audience is inactive. - ACTIVATING: The audience is activating. For an audience for uploading u",https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup.audienceCount,Number,,,,"The number of users included in the audience. To protect the users' privacy, 0 is returned when it is less than 20, unless the audience type is one of the following: - An audience used for uploading user IDs (in case of recipients being specified by their user IDs) - Chat tag audience Since the audience may include users who have already blocked LINE Official Account, the value of audienceGroup.audienceCount and the number of users to whom messages will be sent will differ.",https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup.created,Number,,,,When the audience was created in UNIX time (in seconds).,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup.permission,String,,,,"Update permissions for the audience. Returns READ_WRITE if the current Messaging API channel can update the target audience, or READ if it can't. - READ: Can use, but can't update the audience. - READ_WRITE: Can use and update the audience.",https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup.isIfaAudience,Boolean,,,,"The value indicating the type of account to be sent, as specified when creating the audience for uploading user IDs. One of: - true: Accounts are specified with IFAs. - false (default): Accounts are specified with user IDs.",https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup.requestId,String,false,"annotation=""Not always included""",,The request ID that was specified when the audience was created. This is only included when audienceGroup.type is CLICK or IMP.,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup.clickUrl,String,false,"annotation=""Not always included""",,The URL that was specified when the audience was created. This is only included when audienceGroup.type is CLICK and link URL is specified.,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup.failedType,String,false,"annotation=""Not always included""",,The reason why the operation failed. This is only included when audienceGroup.status is FAILED. One of: - AUDIENCE_GROUP_AUDIENCE_INSUFFICIENT: Insufficient number of users included in the audience (at least 50 are needed) - INTERNAL_ERROR: Internal server error,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup.activated,Number,false,"annotation=""Not always included""",,Time the audience was activated. Only returned for audiences created with LINE Ads or LINE Points Ads (Japanese only).,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup.inactivatedTimestamp,Number,false,"annotation=""Not always included""",,Time of audience inactivation. Only returned for audiences created with LINE Ads or LINE Points Ads (Japanese only).,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,audienceGroup.expireTimestamp,Number,false,"annotation=""Not always included""",,Audience expiration time in UNIX time (in seconds). Only returned for specific audiences.,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,jobs,Array,,,50,An array of jobs. This array is used to keep track of each attempt to add new user IDs or IFAs to an audience for uploading user IDs. Empty array is returned for any other type of audience.<br />Max: 50,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,jobs[].audienceGroupJobId,Number,,,,A job ID.,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,jobs[].audienceGroupId,Number,,,,An audience ID.,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,jobs[].description,String,,,,"The job's description. If you don't specify a value with the uploadDescription property when adding a user ID or IFA, null will be returned.",https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,jobs[].type,String,,,,The job's type. One of: - DIFF_ADD: Indicates that a user ID or IFA was added via the Messaging API.,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,jobs[].status,String,,,,This property is deprecated. See jobs[].jobStatus for the status of jobs.,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,jobs[].failedType,String,,,,"The reason why the operation failed. This is only included when jobs[].jobStatus is FAILED. One of: - AUDIENCE_GROUP_AUDIENCE_INSUFFICIENT: Insufficient number of users included in the audience (at least 50 are needed) - INTERNAL_ERROR: Internal server error If jobs[].jobStatus isn't FAILED, null is returned.",https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,jobs[].audienceCount,Number,,,,The number of accounts (recipients) that were added or removed.,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,jobs[].created,Number,,,,When the job was created in UNIX time (in seconds).,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,jobs[].jobStatus,String,,,,"The job's status. One of: - QUEUED: Waiting to run - WORKING: Running - FINISHED: Completed - FAILED: Failed Jobs whose status is QUEUED or WORKING haven't completed the process of adding user IDs or IFAs. If you want to send messages to the users including the added target recipients, confirm that jobs[].jobStatus for the relevant job is FINISHED.",https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,adaccount,Object,false,"annotation=""Not always included""",,Ad account object. Only returned for audiences created with LINE Ads or LINE Points Ads (Japanese only).,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get audience data,Response,adaccount[].name,String,,,,Name of the ad account that created the shared audience.,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Get data for multiple audiences,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Query parameters,page,The page to return when getting (paginated) results. Must be 1 or higher.,true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Query parameters,description,"The name of the audience(s) to return. You can search for partial matches. This is case-insensitive, meaning AUDIENCE and audience are considered identical. If omitted, the name of the audience(s) will not be used as a search criterion.",false,optional,,,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Query parameters,status,"The status of the audience(s) to return. If omitted, the status of the audience(s) will not be used as a search criterion. One of:",false,optional,,- IN_PROGRESS: Pending. - READY: Ready to accept messages. - FAILED: An error occurred while creating the audience. - EXPIRED: Expired. Audiences are automatically deleted a month after they expire. - INACTIVE: The audience is inactive. - ACTIVATING: The audience is activating.,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Query parameters,size,The number of audiences per page. Default: 20,false,optional,,Max: 40,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Query parameters,includesExternalPublicGroups,- true (default): Get public audiences created in all channels linked to the same bot.,false,optional,,- false: Get audiences created in the same channel.,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Query parameters,createRoute,"How the audience was created. If omitted, all audiences are included.",false,optional,,"- OA_MANAGER: Return only audiences created with LINE Official Account Manager. - MESSAGING_API: Return only audiences created with Messaging API. - POINT_AD: Return only audiences created with LINE Points Ads (Japanese only). - AD_MANAGER: Return only audiences created with LINE Ads. If you specify multiple parameters, the OR condition is used.",https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups,Array,,,,"An array of audience data. If there are no audiences that match the specified filter, an empty array will be returned.",https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups[].audienceGroupId,Number,,,,The audience ID.,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups[].createRoute,String,,,,How the audience was created. One of: - OA_MANAGER: Audience created with LINE Official Account Manager - MESSAGING_API: Audience created with Messaging API - POINT_AD: Audience created with LINE Points Ads (Japanese only) - AD_MANAGER: Audience created with LINE Ads,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups[].type,String,,,,The audience type. One of: - UPLOAD: An audience used for uploading user IDs - CLICK: Message click audience - IMP: Message impression audience - CHAT_TAG: Chat tag audience - FRIEND_PATH: Friend path audience - RESERVATION: Reservation audience - RICHMENU_IMP: Rich menu impression audience - RICHMENU_CLICK: Rich menu click audience - APP_EVENT: App event audience - VIDEO_VIEW: Video view audience - WEBTRAFFIC: Web traffic audience (LINE Tag) - TRACKINGTAG_WEBTRAFFIC: Web traffic audience (Tracking Tag) - IMAGE_CLICK: Image click audience - POP_AD_IMP: LINE Beacon Network ad impression audienc,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups[].description,String,,,,The audience's name.,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups[].status,String,,,,"The audience's status. One of: - IN_PROGRESS: Pending. It may take several hours for the status to change to READY. If the number of users included in the audience is insufficient (at least 50 are required) for an audience with a user count restriction, the status will remain IN_PROGRESS and won't be updated. - READY: Ready to accept messages. - FAILED: An error occurred while creating the audience. - EXPIRED: Expired. Audiences are automatically deleted a month after they expire. - INACTIVE: The audience is inactive. - ACTIVATING: The audience is activating.",https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups[].audienceCount,Number,,,,"The number of users included in the audience. To protect the users' privacy, 0 is returned when it is less than 20, unless the audience type is one of the following: - An audience used for uploading user IDs (in case of recipients being specified by their user IDs) - Chat tag audience Since the audience may include users who have already blocked LINE Official Account, the value of audienceGroups[].audienceCount and the number of users to whom messages will be sent will differ.",https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups[].created,Number,,,,When the audience was created in UNIX time (in seconds).,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups[].permission,String,,,,"Update permissions for the audience. Returns READ_WRITE if the current Messaging API channel can update the target audience, or READ if it can't. - READ: Can use, but can't update the audience. - READ_WRITE: Can use and update the audience.",https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups[].isIfaAudience,Boolean,,,,"The value indicating the type of account to be sent, as specified when creating the audience for uploading user IDs. One of: - true: Accounts are specified with IFAs. - false (default): Accounts are specified with user IDs.",https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups[].activated,Number,false,"annotation=""Not always included""",,Time the audience was activated. Only returned for audiences created with LINE Ads or LINE Points Ads (Japanese only).,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups[].inactivatedTimestamp,Number,false,"annotation=""Not always included""",,Time of audience inactivation. Only returned for audiences created with LINE Ads or LINE Points Ads (Japanese only).,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups[].expireTimestamp,Number,false,"annotation=""Not always included""",,Audience expiration time in UNIX time (in seconds). Only returned for specific audiences.,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups[].requestId,String,false,"annotation=""Not always included""",,The request ID that was specified when the audience was created. This is only included when audienceGroups[].type is CLICK or IMP.,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups[].clickUrl,String,false,"annotation=""Not always included""",,The URL that was specified when the audience was created. This is only included when audienceGroups[].type is CLICK and the link URL is specified.,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,audienceGroups[].failedType,String,false,"annotation=""Not always included""",,The reason why the operation failed. This is only included when audienceGroups[].status is FAILED or EXPIRED. One of: - AUDIENCE_GROUP_AUDIENCE_INSUFFICIENT: Insufficient number of users included in the audience (at least 50 are needed) - INTERNAL_ERROR: Internal server error,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,hasNextPage,Boolean,,,,true when this is not the last page.,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,totalCount,Number,,,,The total number of audiences that can be returned with the specified filter.,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,readWriteAudienceGroupTotalCount,Number,,,,"Of the audiences you can get with the specified filter, the number of audiences with the update permission (audienceGroups[].permission) is READ_WRITE.",https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,page,Number,,,,The current page number.,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get data for multiple audiences,Response,size,Number,,,,The maximum number of audiences on the current page.,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get shared audience data in Business Manager,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Path parameters,audienceGroupId,The audience ID of the audience you want to get information about.,true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup,Object,,,,Audience group object.,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup.audienceGroupId,Number,,,,The audience ID.,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup.createRoute,String,,,,How the audience was created. One of: - OA_MANAGER: Audience created with LINE Official Account Manager - MESSAGING_API: Audience created with Messaging API - POINT_AD: Audience created with LINE Points Ads (only available in Japanese) - AD_MANAGER: Audience created with LINE Ads - BUSINESS_MANAGER: Audience created with Business Manager - YAHOO_DISPLAY_ADS: Audience created with LY Ads Display Ads,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup.type,String,,,,The audience type. One of: - UPLOAD: An audience used for uploading user IDs - CLICK: Message click audience - IMP: Message impression audience - CHAT_TAG: Chat tag audience - FRIEND_PATH: Friend path audience - RESERVATION: Reservation audience - RICHMENU_IMP: Rich menu impression audience - RICHMENU_CLICK: Rich menu click audience - APP_EVENT: App event audience - VIDEO_VIEW: Video view audience - WEBTRAFFIC: Web traffic audience (LINE Tag) - TRACKINGTAG_WEBTRAFFIC: Web traffic audience (Tracking Tag) - IMAGE_CLICK: Image click audience - POP_AD_IMP: LINE Beacon Network ad impression audienc,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup.description,String,,,,The audience's name.,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup.status,String,,,,"The audience's status. One of: - IN_PROGRESS: Pending. It may take several hours for the status to change to READY. If the number of users included in the audience is insufficient (at least 50 are required) for an audience with a user count restriction, the status will remain IN_PROGRESS and won't be updated. - READY: Ready to accept messages (). - FAILED: An error occurred while creating the audience. - EXPIRED: Expired. Audiences are automatically deleted a month after they expire. - INACTIVE: The audience is inactive. - ACTIVATING: The audience is activating. For an audience for uploading u",https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup.audienceCount,Number,,,,"The number of users included in the audience. To protect the users' privacy, 0 is returned when it is less than 20, unless the audience type is one of the following: - An audience used for uploading user IDs (in case of recipients being specified by their user IDs) - Chat tag audience Since the audience may include users who have already blocked LINE Official Account, the value of audienceGroup.audienceCount and the number of users to whom messages will be sent will differ.",https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup.created,Number,,,,When the audience was created in UNIX time (in seconds).,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup.permission,String,,,,"Update permissions for the audience. Returns READ_WRITE if the current Messaging API channel can update the target audience, or READ if it can't. - READ: Can use, but can't update the audience. - READ_WRITE: Can use and update the audience.",https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup.isIfaAudience,Boolean,,,,"The value indicating the type of account to be sent, as specified when creating the audience for uploading user IDs. One of: - true: Accounts are specified with IFAs. - false (default): Accounts are specified with user IDs.",https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroups[].webtraffic,Object,false,"annotation=""Not always included""",,Web traffic object. This is only included when audienceGroups[].type is WEBTRAFFIC or TRACKINGTAG_WEBTRAFFIC.,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup.requestId,String,false,"annotation=""Not always included""",,The request ID that was specified when the audience was created. This is only included when audienceGroup.type is CLICK or IMP.,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup.clickUrl,String,false,"annotation=""Not always included""",,The URL that was specified when the audience was created. This is only included when audienceGroup.type is CLICK and link URL is specified.,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup.failedType,String,false,"annotation=""Not always included""",,The reason why the operation failed. This is only included when audienceGroup.status is FAILED. One of: - AUDIENCE_GROUP_AUDIENCE_INSUFFICIENT: Insufficient number of users included in the audience (at least 50 are needed) - INTERNAL_ERROR: Internal server error,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup.activated,Number,false,"annotation=""Not always included""",,Time the audience was activated. Only returned for audiences created with LINE Ads or LINE Points Ads (Japanese only).,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup.inactivatedTimestamp,Number,false,"annotation=""Not always included""",,Time of audience inactivation. Only returned for audiences created with LINE Ads or LINE Points Ads (Japanese only).,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,audienceGroup.expireTimestamp,Number,false,"annotation=""Not always included""",,Audience expiration in UNIX time (in seconds). Only returned for specific audiences.,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,jobs,Array,,,50,An array of jobs. This array is used to keep track of each attempt to add new user IDs or IFAs to an audience for uploading user IDs. Empty array is returned for any other type of audience.<br />Max: 50,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,jobs[].audienceGroupJobId,Number,,,,A job ID.,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,jobs[].audienceGroupId,Number,,,,An audience ID.,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,jobs[].description,String,,,,"The job's description. If you don't specify a value with the uploadDescription property when adding a user ID or IFA, null will be returned.",https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,jobs[].type,String,,,,The job's type. One of: - DIFF_ADD: Indicates that a user ID or IFA was added via the Messaging API.,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,jobs[].status,String,,,,This property is deprecated. See jobs[].jobStatus for the status of jobs.,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,jobs[].failedType,String,,,,"The reason why the operation failed. This is only included when jobs[].jobStatus is FAILED. One of: - AUDIENCE_GROUP_AUDIENCE_INSUFFICIENT: Insufficient number of users included in the audience (at least 50 are needed) - INTERNAL_ERROR: Internal server error If jobs[].jobStatus isn't FAILED, null is returned.",https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,jobs[].audienceCount,Number,,,,The number of accounts (recipients) that were added or removed.,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,Response,jobs[].created,Number,,,,When the job was created in UNIX time (in seconds).,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
