api,kind,scope,code_or_message,description,doc_url
messaging-api,endpoint-error,Get group chat summary,400,An invalid group ID is specified.,https://developers.line.biz/en/reference/messaging-api/#get-group-chat-summary
messaging-api,endpoint-error,Get group chat summary,404,A non-existent group or a group that your LINE Official Account doesn't participate in is specified.,https://developers.line.biz/en/reference/messaging-api/#get-group-chat-summary
messaging-api,endpoint-error,Get number of users in a group chat,400,An invalid group ID is specified.,https://developers.line.biz/en/reference/messaging-api/#get-number-of-users-in-a-group-chat
messaging-api,endpoint-error,Get number of users in a group chat,404,A non-existent group or a group that your LINE Official Account doesn't participate in is specified.,https://developers.line.biz/en/reference/messaging-api/#get-number-of-users-in-a-group-chat
messaging-api,endpoint-error,Get group chat member user IDs,400,Problem with the request. Consider these reasons:<ul><li>An invalid group ID is specified.</li><li>An invalid continuation token is specified for the start property.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-group-chat-member-user-ids
messaging-api,endpoint-error,Get group chat member user IDs,403,Not authorized to use this endpoint. Only available for verified accounts or premium accounts.,https://developers.line.biz/en/reference/messaging-api/#get-group-chat-member-user-ids
messaging-api,endpoint-error,Get group chat member user IDs,404,A non-existent group or a group that your LINE Official Account doesn't participate in is specified.,https://developers.line.biz/en/reference/messaging-api/#get-group-chat-member-user-ids
messaging-api,endpoint-error,Get group chat member profile,400,Problem with the request. Consider these reasons:<ul><li>An invalid group ID is specified.</li><li>An invalid user ID is specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-group-chat-member-profile
messaging-api,endpoint-error,Get group chat member profile,404,Unable to get profile information. Consider these reasons:<ul><li>A non-existent group or a group that your LINE Official Account doesn't participate in is specified.</li><li>A non-existent user or a user who hasn't joined a group is specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-group-chat-member-profile
messaging-api,endpoint-error,Leave group chat,400,An invalid group ID is specified.,https://developers.line.biz/en/reference/messaging-api/#leave-group-chat
messaging-api,endpoint-error,Leave group chat,404,A non-existent group or a group that your LINE Official Account doesn't participate in is specified.,https://developers.line.biz/en/reference/messaging-api/#leave-group-chat
messaging-api,endpoint-error,Get number of users in a multi-person chat,400,An invalid room ID is specified.,https://developers.line.biz/en/reference/messaging-api/#get-number-of-users-in-a-multi-person-chat
messaging-api,endpoint-error,Get number of users in a multi-person chat,404,A non-existent multi-person chat or a multi-person chat that your LINE Official Account doesn't participate in is specified.,https://developers.line.biz/en/reference/messaging-api/#get-number-of-users-in-a-multi-person-chat
messaging-api,endpoint-error,Get multi-person chat member user IDs,400,Problem with the request. Consider these reasons:<ul><li>An invalid room ID is specified.</li><li>An invalid continuation token is specified for the start property.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-multi-person-chat-member-user-ids
messaging-api,endpoint-error,Get multi-person chat member user IDs,403,Not authorized to use this endpoint. Only available for verified accounts or premium accounts.,https://developers.line.biz/en/reference/messaging-api/#get-multi-person-chat-member-user-ids
messaging-api,endpoint-error,Get multi-person chat member user IDs,404,A non-existent multi-person chat or a multi-person chat that your LINE Official Account doesn't participate in is specified.,https://developers.line.biz/en/reference/messaging-api/#get-multi-person-chat-member-user-ids
messaging-api,endpoint-error,Get multi-person chat member profile,400,Problem with the request. Consider these reasons:<ul><li>An invalid room ID is specified.</li><li>An invalid user ID is specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-multi-person-chat-member-profile
messaging-api,endpoint-error,Get multi-person chat member profile,404,Unable to get profile information. Consider these reasons:<ul><li>A non-existent multi-person chat or a multi-person chat that your LINE Official Account doesn't participate in is specified.</li><li>A non-existent user or a user who hasn't joined a multi-person chat is specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-multi-person-chat-member-profile
messaging-api,endpoint-error,Leave multi-person chat,400,An invalid room ID is specified.,https://developers.line.biz/en/reference/messaging-api/#leave-multi-person-chat
messaging-api,endpoint-error,Leave multi-person chat,404,A non-existent multi-person chat is specified.,https://developers.line.biz/en/reference/messaging-api/#leave-multi-person-chat
messaging-api,endpoint-error,Create rich menu,400,Couldn't create a rich menu. Consider these reasons:<ul><li>An invalid rich menu object is specified.</li><li>The maximum number of rich menus that can be created has been reached (up to 1000).</li></ul>,https://developers.line.biz/en/reference/messaging-api/#create-rich-menu
messaging-api,endpoint-error,Validate rich menu object,400,An invalid rich menu object is specified.,https://developers.line.biz/en/reference/messaging-api/#validate-rich-menu-object
messaging-api,endpoint-error,Upload rich menu image,400,Couldn't set the image to the rich menu. Consider these reasons:<ul><li>The image doesn't meet the requirements.</li><li>An image is already set to the rich menu.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#upload-rich-menu-image
messaging-api,endpoint-error,Upload rich menu image,404,A non-existent rich menu is specified.,https://developers.line.biz/en/reference/messaging-api/#upload-rich-menu-image
messaging-api,endpoint-error,Upload rich menu image,415,An unsupported media format is specified in Content-Type (other than image/jpeg and image/png).,https://developers.line.biz/en/reference/messaging-api/#upload-rich-menu-image
messaging-api,endpoint-error,Download rich menu image,404,Couldn't download the image. Consider these reasons:<ul><li>A non-existent rich menu is specified.</li><li>There is no image set to the rich menu.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#download-rich-menu-image
messaging-api,endpoint-error,Get rich menu,404,A non-existent rich menu is specified.,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu
messaging-api,endpoint-error,Delete rich menu,404,A non-existent rich menu is specified.,https://developers.line.biz/en/reference/messaging-api/#delete-rich-menu
messaging-api,endpoint-error,Set default rich menu,400,There is no image set to the rich menu.,https://developers.line.biz/en/reference/messaging-api/#set-default-rich-menu
messaging-api,endpoint-error,Set default rich menu,404,A non-existent rich menu is specified.,https://developers.line.biz/en/reference/messaging-api/#set-default-rich-menu
messaging-api,endpoint-error,Get default rich menu ID,403,"The default rich menu is set by another channel, such as LINE Official Account Manager.",https://developers.line.biz/en/reference/messaging-api/#get-default-rich-menu-id
messaging-api,endpoint-error,Get default rich menu ID,404,The default rich menu isn't set.,https://developers.line.biz/en/reference/messaging-api/#get-default-rich-menu-id
messaging-api,endpoint-error,Link rich menu to user,400,Couldn't link the rich menu. Consider these reasons:<ul><li>An invalid user ID is specified.</li><li>There is no image set to the rich menu.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#link-rich-menu-to-user
messaging-api,endpoint-error,Link rich menu to user,404,A non-existent rich menu is specified.,https://developers.line.biz/en/reference/messaging-api/#link-rich-menu-to-user
messaging-api,endpoint-error,Link rich menu to multiple users,400,Couldn't link the rich menu. Consider these reasons:<ul><li>An invalid user ID is specified.</li><li>An invalid rich menu ID is specified.</li><li>There is no image set to the rich menu.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#link-rich-menu-to-multiple-users
messaging-api,endpoint-error,Link rich menu to multiple users,404,A non-existent rich menu is specified.,https://developers.line.biz/en/reference/messaging-api/#link-rich-menu-to-multiple-users
messaging-api,endpoint-error,Get rich menu ID of user,400,An invalid user ID is specified.,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-id-of-user
messaging-api,endpoint-error,Get rich menu ID of user,404,Could't get a rich menu ID. Consider these reasons:<ul><li>The user isn't linked to a rich menu.</li><li>A non-existent user is specified.</li><li>The user hasn't added the target LINE Official Account as a friend.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-id-of-user
messaging-api,endpoint-error,Unlink rich menu from user,400,An invalid user ID is specified.,https://developers.line.biz/en/reference/messaging-api/#unlink-rich-menu-from-user
messaging-api,endpoint-error,Unlink rich menus from multiple users,400,An invalid user ID is specified.,https://developers.line.biz/en/reference/messaging-api/#unlink-rich-menus-from-multiple-users
messaging-api,endpoint-error,Replace or unlink the linked rich menus in batches,400,Couldn't control the rich menu. Consider these reasons:<ul><li>An invalid rich menu ID is specified.</li><li>The rich menu you want to replace has no image.</li><li>More than 1000 operations are specified in the operations property.</li><li>unlinkAll and other types are specified to the type property at the same time.</li><li>The ID of the same rich menu is specified in multiple from properties.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#replace-or-unlink-the-linked-rich-menus-in-batches
messaging-api,endpoint-error,Replace or unlink the linked rich menus in batches,404,A non-existent rich menu is specified.,https://developers.line.biz/en/reference/messaging-api/#replace-or-unlink-the-linked-rich-menus-in-batches
messaging-api,endpoint-error,Get the status of rich menu batch control,400,An invalid request ID is specified.,https://developers.line.biz/en/reference/messaging-api/#get-the-status-of-rich-menu-batch-control
messaging-api,endpoint-error,Get the status of rich menu batch control,404,Couldn't get the status. Consider these reasons:<ul><li>A non-existent request ID is specified.</li><li>The period of time to get the status has expired.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-the-status-of-rich-menu-batch-control
messaging-api,endpoint-error,Validate a request of rich menu batch control,400,Couldn't control the rich menu. Consider these reasons:<ul><li>An invalid rich menu ID is specified.</li><li>The rich menu you want to replace has no image.</li><li>More than 1000 operations are specified in the operations property.</li><li>unlinkAll and other types are specified to the type property at the same time.</li><li>The ID of the same rich menu is specified in multiple from properties.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#validate-a-request-of-rich-menu-batch-control
messaging-api,endpoint-error,Validate a request of rich menu batch control,404,A non-existent rich menu is specified.,https://developers.line.biz/en/reference/messaging-api/#validate-a-request-of-rich-menu-batch-control
messaging-api,endpoint-error,Create rich menu alias,400,Couldn't create the rich menu alias. Consider these reasons:<ul><li>A rich menu that doesn't exist or a rich menu without a set image is specified.</li><li>An invalid rich menu alias ID is specified.</li><li>An invalid rich menu ID is specified.</li><li>Reached the maximum number of rich menu aliases you can create.</li><li>The same ID as an already existing rich menu alias is specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#create-rich-menu-alias
messaging-api,endpoint-error,Delete rich menu alias,400,An invalid rich menu alias ID is specified.,https://developers.line.biz/en/reference/messaging-api/#delete-rich-menu-alias
messaging-api,endpoint-error,Delete rich menu alias,404,A non-existent rich menu alias is specified.,https://developers.line.biz/en/reference/messaging-api/#delete-rich-menu-alias
messaging-api,endpoint-error,Update rich menu alias,400,Couldn't update the rich menu alias. Consider these reasons:<ul><li>A rich menu that doesn't exist or a rich menu without a set image is specified.</li><li>An invalid rich menu alias ID is specified.</li><li>An invalid rich menu ID is specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#update-rich-menu-alias
messaging-api,endpoint-error,Update rich menu alias,404,A non-existent rich menu alias is specified.,https://developers.line.biz/en/reference/messaging-api/#update-rich-menu-alias
messaging-api,endpoint-error,Get rich menu alias information,400,An invalid rich menu alias ID is specified.,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-alias-information
messaging-api,endpoint-error,Get rich menu alias information,404,A non-existent rich menu alias is specified.,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-alias-information
line-login,status-code,Common specifications,200 OK,The request succeeded.,https://developers.line.biz/en/reference/line-login/#status-codes
line-login,status-code,Common specifications,400 Bad Request,There was a problem with the request. Check the request parameters and JSON format.,https://developers.line.biz/en/reference/line-login/#status-codes
line-login,status-code,Common specifications,401 Unauthorized,Check that the authorization header is correct.,https://developers.line.biz/en/reference/line-login/#status-codes
line-login,status-code,Common specifications,403 Forbidden,You are not authorized to use the API. Confirm that your account or plan is authorized to use the API.,https://developers.line.biz/en/reference/line-login/#status-codes
line-login,status-code,Common specifications,413 Payload Too Large,Request exceeds the max size of 2MB. Make the request smaller than 2MB and try again.,https://developers.line.biz/en/reference/line-login/#status-codes
line-login,status-code,Common specifications,429 Too Many Requests,Temporarily restricting requests because rate-limit has been exceeded by a large number of requests.,https://developers.line.biz/en/reference/line-login/#status-codes
line-login,status-code,Common specifications,500 Internal Server Error,There was a temporary error on the API server.,https://developers.line.biz/en/reference/line-login/#status-codes
line-login,endpoint-error,Verify access token validity,400 Bad Request,"Problem with the request. Consider these reasons:<ul><li>An access token with an invalid format is specified.</li><li>The access token has expired.</li><li>The access token has been invalidated (e.g., via the Revoke access token endpoint).</li></ul>",https://developers.line.biz/en/reference/line-login/#verify-access-token-validity
line-login,endpoint-error,Deauthorize your app to which the user has granted permissions,400,Invalid access token for the target user. Consider these reasons:<ul><li>The user has already deauthorized your app.</li><li>You have already deauthorized your app on behalf of the user via the API.</li></ul>,https://developers.line.biz/en/reference/line-login/#deauthorize-your-app-to-which-the-user-has-granted-permissions
line-login,endpoint-error,Verify ID token,Invalid IdToken.,The ID token is malformed or the signature is invalid.,https://developers.line.biz/en/reference/line-login/#verify-id-token
line-login,endpoint-error,Verify ID token,Invalid IdToken Issuer.,"The ID token was generated on a site other than ""https://access.line.me"".",https://developers.line.biz/en/reference/line-login/#verify-id-token
line-login,endpoint-error,Verify ID token,IdToken expired.,The ID token has expired.,https://developers.line.biz/en/reference/line-login/#verify-id-token
line-login,endpoint-error,Verify ID token,Invalid IdToken Audience.,The ID token's Audience value is different from the client_id specified in the request.,https://developers.line.biz/en/reference/line-login/#verify-id-token
line-login,endpoint-error,Verify ID token,Invalid IdToken Nonce.,The ID token's Nonce value is different from the nonce specified in the request.,https://developers.line.biz/en/reference/line-login/#verify-id-token
line-login,endpoint-error,Verify ID token,Invalid IdToken Subject Identifier.,The ID token's SubjectIdentifier value is different from the user_id specified in the request.,https://developers.line.biz/en/reference/line-login/#verify-id-token
liff,error-detail,Common specifications,400,Problem with the request. Check the request parameters and JSON format.,https://developers.line.biz/en/reference/liff/#liff-sdk-errors
liff,error-detail,Common specifications,401,Check that the authorization header is correct.,https://developers.line.biz/en/reference/liff/#liff-sdk-errors
liff,error-detail,Common specifications,403,Not authorized to use the API. Confirm that your account or plan is authorized to use the API.,https://developers.line.biz/en/reference/liff/#liff-sdk-errors
liff,error-detail,Common specifications,429,Make sure that you are within the rate limit for requests.,https://developers.line.biz/en/reference/liff/#liff-sdk-errors
liff,error-detail,Common specifications,500,Temporary error on the API server.,https://developers.line.biz/en/reference/liff/#liff-sdk-errors
liff,error-detail,Common specifications,INIT_FAILED,Failed to init LIFF SDK.,https://developers.line.biz/en/reference/liff/#liff-sdk-errors
liff,error-detail,Common specifications,INVALID_ARGUMENT,An invalid argument was specified.,https://developers.line.biz/en/reference/liff/#liff-sdk-errors
liff,error-detail,Common specifications,UNAUTHORIZED,<ul><li>The user did not authorize.</li><li>Call the server api without access token.</li><li>Call the share target picker before logging in.</li></ul>,https://developers.line.biz/en/reference/liff/#liff-sdk-errors
liff,error-detail,Common specifications,FORBIDDEN,<ul><li>You don't have the required permission.</li><li>You attempted to use a feature in an environment that's not supported.</li></ul>,https://developers.line.biz/en/reference/liff/#liff-sdk-errors
liff,error-detail,Common specifications,INVALID_CONFIG,An invalid setting.<ul><li>Specify the liffId to initialize LIFF apps using liff.init().</li><li>The URL of the page that executes the liff.permanentLink.createUrl() method doesn't start with the URL specified in the Endpoint URL.</li></ul>,https://developers.line.biz/en/reference/liff/#liff-sdk-errors
liff,error-detail,Common specifications,INVALID_ID_TOKEN,Failed to verify the ID token.,https://developers.line.biz/en/reference/liff/#liff-sdk-errors
liff,error-detail,Common specifications,EXCEPTION_IN_SUBWINDOW,"Problem with subwindow. <ul><li>For example, if the target picker (group or friend selection screen) is displayed and has been idle for more than 10 minutes, for example.</li></ul>",https://developers.line.biz/en/reference/liff/#liff-sdk-errors
liff,error-detail,Common specifications,UNKNOWN,Unknown error.,https://developers.line.biz/en/reference/liff/#liff-sdk-errors
liff,endpoint-error,liff.permission.requestAll(),FORBIDDEN,All permissions have already been approved.,https://developers.line.biz/en/reference/liff/#liffpermissionrequestall
liff,endpoint-error,liff.permission.requestAll(),INVALID_ARGUMENT,"officialAccount.id must start with ""@"".",https://developers.line.biz/en/reference/liff/#liffpermissionrequestall
liff,endpoint-error,liff.getFriendship(),400,Bot not found,https://developers.line.biz/en/reference/liff/#liffgetfriendship
liff,endpoint-error,liff.getFriendship(),403,LOGIN_MULTI_LINKED_BOT_PROMPT feature license is required.,https://developers.line.biz/en/reference/liff/#liffgetfriendship
liff,endpoint-error,liff.getFriendship(),INVALID_ARGUMENT,"officialAccountId must start with ""@"".",https://developers.line.biz/en/reference/liff/#liffgetfriendship
liff,endpoint-error,liff.requestFriendship(),FORBIDDEN,No bot could be resolved for the request.,https://developers.line.biz/en/reference/liff/#liffrequestfriendship
liff,endpoint-error,liff.requestFriendship(),INVALID_ARGUMENT,"officialAccount.id must start with ""@"".",https://developers.line.biz/en/reference/liff/#liffrequestfriendship
liff-server,endpoint-error,Adding the LIFF app to a channel,400,This status code means one of the following:<ul><li>The request contains an invalid value.</li><li>The maximum number of LIFF apps that can be added to the channel has been reached.</li></ul>,https://developers.line.biz/en/reference/liff-server/#adding-the-liff-app-to-a-channel
liff-server,endpoint-error,Adding the LIFF app to a channel,401,Authentication failed.,https://developers.line.biz/en/reference/liff-server/#adding-the-liff-app-to-a-channel
liff-server,endpoint-error,Update LIFF app settings,400,The request contains an invalid value.,https://developers.line.biz/en/reference/liff-server/#update-liff-app-settings
liff-server,endpoint-error,Update LIFF app settings,401,Authentication failed.,https://developers.line.biz/en/reference/liff-server/#update-liff-app-settings
liff-server,endpoint-error,Update LIFF app settings,404,This status code means one of the following:<ul><li>The specified LIFF app does not exist.</li><li>The specified LIFF app has been added to another channel.</li></ul>,https://developers.line.biz/en/reference/liff-server/#update-liff-app-settings
liff-server,endpoint-error,Get all LIFF apps,401,Authentication failed.,https://developers.line.biz/en/reference/liff-server/#get-all-liff-apps
liff-server,endpoint-error,Get all LIFF apps,404,There is no LIFF app on the channel.,https://developers.line.biz/en/reference/liff-server/#get-all-liff-apps
liff-server,endpoint-error,Delete LIFF app from a channel,401,Authentication failed.,https://developers.line.biz/en/reference/liff-server/#delete-liff-app-from-a-channel
liff-server,endpoint-error,Delete LIFF app from a channel,404,This status code means one of the following:<ul><li>The specified LIFF app does not exist.</li><li>The specified LIFF app has been added to another channel.</li></ul>,https://developers.line.biz/en/reference/liff-server/#delete-liff-app-from-a-channel
line-mini-app,endpoint-error,Issuing a service notification token,400 Bad request,This status code means one of the following: <ul><li>There is a problem with the request body.</li><li>The LIFF access token specified in the liffAccessToken property was used multiple times in a short span of time to request the issuing of service notification tokens.</li></ul>,https://developers.line.biz/en/reference/line-mini-app/#issuing-a-service-notification-token
line-mini-app,endpoint-error,Issuing a service notification token,401 Unauthorized,"This status code means one or both of the following: <ul><li>A valid channel access token hasn't been specified.</li><li>A valid LIFF access token hasn't been specified.</li><ul><li>When the user closes the LIFF app, the LIFF access token will be revoked even if it hasn't expired.</li></ul></ul>",https://developers.line.biz/en/reference/line-mini-app/#issuing-a-service-notification-token
line-mini-app,endpoint-error,Issuing a service notification token,403 Forbidden,This channel isn't authorized to issue service messages.,https://developers.line.biz/en/reference/line-mini-app/#issuing-a-service-notification-token
line-mini-app,endpoint-error,Issuing a service notification token,500 Internal Server Error,Error on the internal server,https://developers.line.biz/en/reference/line-mini-app/#issuing-a-service-notification-token
line-mini-app,endpoint-error,Sending service messages,400 Bad request,This status code means one of the following: <ul><li>There is a problem with the request body. </li><li>The target recipient of the service message doesn't exist. </li></ul>,https://developers.line.biz/en/reference/line-mini-app/#sending-service-messages
line-mini-app,endpoint-error,Sending service messages,401 Unauthorized,This status code means one or both of the following: <ul><li>A valid channel access token hasn't been specified.</li><li>A valid service notification token hasn't been specified. </li></ul>,https://developers.line.biz/en/reference/line-mini-app/#sending-service-messages
line-mini-app,endpoint-error,Sending service messages,403 Forbidden,This status code means one of the following: <ul><li>This channel is not authorized to send service messages. </li><li>The specified template cannot be found.</li></ul>,https://developers.line.biz/en/reference/line-mini-app/#sending-service-messages
line-mini-app,endpoint-error,liff.iap.getPlatformProducts(),"Need access_token for api call, Please login first",The user is not logged in.,https://developers.line.biz/en/reference/line-mini-app/#liffiapgetplatformproducts
line-mini-app,endpoint-error,liff.iap.getPlatformProducts(),In-App Purchase is not allowed in external browser,The method was executed in an external browser.,https://developers.line.biz/en/reference/line-mini-app/#liffiapgetplatformproducts
line-mini-app,endpoint-error,liff.iap.getPlatformProducts(),In-App Purchase is not allowed in this LIFF app,The LINE MINI App being run by the user does not support in-app purchase.,https://developers.line.biz/en/reference/line-mini-app/#liffiapgetplatformproducts
line-mini-app,endpoint-error,liff.iap.requestConsentAgreement(),The user did not agree to the terms.,The user did not agree to the Terms of Use: LINE In-App Purchase System .,https://developers.line.biz/en/reference/line-mini-app/#liffiaprequestconsentagreement
line-mini-app,endpoint-error,liff.iap.requestConsentAgreement(),"Need access_token for api call, Please login first",The user is not logged in.,https://developers.line.biz/en/reference/line-mini-app/#liffiaprequestconsentagreement
line-mini-app,endpoint-error,liff.iap.requestConsentAgreement(),In-App Purchase is not allowed in external browser,The method was executed in an external browser.,https://developers.line.biz/en/reference/line-mini-app/#liffiaprequestconsentagreement
line-mini-app,endpoint-error,liff.iap.requestConsentAgreement(),In-App Purchase is not allowed in this LIFF app,The LINE MINI App being run by the user does not support in-app purchase.,https://developers.line.biz/en/reference/line-mini-app/#liffiaprequestconsentagreement
line-mini-app,endpoint-error,liff.iap.createPayment(),"Need access_token for api call, Please login first",The user is not logged in.,https://developers.line.biz/en/reference/line-mini-app/#liffiapcreatepayment
line-mini-app,endpoint-error,liff.iap.createPayment(),In-App Purchase is not allowed in external browser,The method was executed in an external browser.,https://developers.line.biz/en/reference/line-mini-app/#liffiapcreatepayment
line-mini-app,endpoint-error,liff.iap.createPayment(),In-App Purchase is not allowed in this LIFF app,The LINE MINI App being run by the user does not support in-app purchase.,https://developers.line.biz/en/reference/line-mini-app/#liffiapcreatepayment
line-mini-app,endpoint-error,Reserve purchase,VALIDATION_ERROR,"Request constraints are not met. For example, a value other than ios or android is passed to clientOs.",https://developers.line.biz/en/reference/line-mini-app/#reserve-purchase
line-mini-app,endpoint-error,Reserve purchase,WEBHOOK_URL_IS_NOT_SET,The webhook URL to receive payment completion notifications is not set.,https://developers.line.biz/en/reference/line-mini-app/#reserve-purchase
line-mini-app,endpoint-error,Reserve purchase,PRODUCT_ID_NOT_FOUND,The requested product ID does not exist.,https://developers.line.biz/en/reference/line-mini-app/#reserve-purchase
line-mini-app,endpoint-error,Reserve purchase,BLOCKED_USER,This user has been determined to be a fraudulent user by the LINE Platform. Requests related to this user can't be processed.,https://developers.line.biz/en/reference/line-mini-app/#reserve-purchase
line-mini-app,endpoint-error,Reserve purchase,INTERNAL_SERVER_ERROR,"A temporary issue has occurred on the LINE Platform. For endpoints where retries are possible, retry using exponential backoff or similar methods.",https://developers.line.biz/en/reference/line-mini-app/#reserve-purchase
line-mini-app,endpoint-error,Reserve purchase,TERMS_AGREEMENT_ERROR,"Occurs when the latest terms and conditions have not been agreed to by this user in ""Obtain user consent for in-app purchase"".",https://developers.line.biz/en/reference/line-mini-app/#reserve-purchase
line-mini-app,endpoint-error,Get webhook event history,VALIDATION_ERROR,"Request constraints are not met. For example, a value other than SUCCESS or FAILED is passed to status.",https://developers.line.biz/en/reference/line-mini-app/#get-webhook-event-history
line-mini-app,endpoint-error,Get webhook event history,INTERNAL_SERVER_ERROR,"A temporary issue has occurred on the LINE Platform. For endpoints that allow retries, retry using exponential backoff or similar methods.",https://developers.line.biz/en/reference/line-mini-app/#get-webhook-event-history
line-notification-messages,endpoint-error,Send a LINE notification message (template),400,Problem with the request. Consider these reasons:<ul><li>An invalid message destination is specified.</li><li>An invalid message object is specified.</li><li>Your LINE Official Account can't use the specified template.</li></ul>,https://developers.line.biz/en/reference/line-notification-messages/#send-a-line-notification-message-template
line-notification-messages,endpoint-error,Send a LINE notification message (template),403,Not authorized to use this endpoint.,https://developers.line.biz/en/reference/line-notification-messages/#send-a-line-notification-message-template
line-notification-messages,endpoint-error,Send a LINE notification message (template),422,"Failed to send a LINE notification message using the LINE notification messages API. Consider these reasons:<ul><li>There is no LINE user associated with the phone number specified as the target for sending messages.</li><li>The phone number specified as the message sending target wasn't issued in LINE notification message service target country. For more information, see Conditions for sending LINE notification messages.</li><li>The LINE user associated with the phone number specified as the message sending target has refused to receive LINE notification messages.</li><li>The LINE user associ",https://developers.line.biz/en/reference/line-notification-messages/#send-a-line-notification-message-template
line-notification-messages,endpoint-error,Get number of sent LINE notification messages (template),400,Problem with the request. Consider these reasons:<ul><li>An invalid date is specified.</li><li>The date is not specified.</li></ul>,https://developers.line.biz/en/reference/line-notification-messages/#get-number-of-sent-line-notification-messages-template
line-notification-messages,endpoint-error,Send a LINE notification message (flexible),400,Problem with the request. Consider these reasons:<ul><li>An invalid message destination is specified.</li><li>An invalid message object is specified.</li></ul>,https://developers.line.biz/en/reference/line-notification-messages/#send-a-line-notification-message-flexible
line-notification-messages,endpoint-error,Send a LINE notification message (flexible),422,"Failed to send a LINE notification message using the LINE notification messages API. Consider these reasons:<ul><li>There is no LINE user associated with the phone number specified as the target for sending messages.</li><li>The phone number specified as the message sending target wasn't issued in LINE notification message service target country. For more information, see Conditions for sending LINE notification messages.</li><li>The LINE user associated with the phone number specified as the message sending target has refused to receive LINE notification messages.</li><li>The LINE user associ",https://developers.line.biz/en/reference/line-notification-messages/#send-a-line-notification-message-flexible
line-notification-messages,endpoint-error,Get number of sent LINE notification messages (flexible),400,Problem with the request. Consider these reasons:<ul><li>An invalid date is specified.</li><li>The date is not specified.</li></ul>,https://developers.line.biz/en/reference/line-notification-messages/#get-number-of-sent-line-notification-messages-flexible
partner-docs,error-message,Mission Sticker API,400,invalid request,https://developers.line.biz/en/reference/partner-docs/#provide-mission-stickers-to-the-users
partner-docs,error-message,Mission Sticker API,403,not allowed to use the API,https://developers.line.biz/en/reference/partner-docs/#provide-mission-stickers-to-the-users
partner-docs,error-message,Mission Sticker API,404,not found,https://developers.line.biz/en/reference/partner-docs/#provide-mission-stickers-to-the-users
partner-docs,error-message,Mission Sticker API,500,internal error,https://developers.line.biz/en/reference/partner-docs/#provide-mission-stickers-to-the-users
partner-docs,error-message,Mission Sticker API,502,upstream error,https://developers.line.biz/en/reference/partner-docs/#provide-mission-stickers-to-the-users
partner-docs,endpoint-error,Mark messages from users as read,400,An invalid user ID is specified.,https://developers.line.biz/en/reference/partner-docs/#mark-messages-from-users-as-read
partner-docs,endpoint-error,Unlink (detach) the module channel by the operation of the module channel administrator,400,Couldn't unlink (detach) the module channel. Consider these reasons:<ul><li>An invalid user ID of the LINE Official Account bot is specified.</li><li>A non-existent LINE Official Account bot is specified.</li><li>The module channel isn't linked (attached).</li><li>A channel access token is specified for a non-module channel.</li></ul>,https://developers.line.biz/en/reference/partner-docs/#unlink-detach-the-module-channel-by-the-operation-of-the-module-channel-administrator
partner-docs,endpoint-error,Acquire Control API,400,An invalid ID is specified in the chatId parameter.,https://developers.line.biz/en/reference/partner-docs/#acquire-control-api
partner-docs,endpoint-error,Acquire Control API,404,Couldn't take the initiative (Chat Control). Consider these reasons:<ul><li>A user is specified who hasn't added the LINE Official Account attached to the module as a friend.</li><li>A group is specified that the LINE Official Account attached to the module doesn't participate in.</li><li>A multi-person chat is specified that the LINE Official Account attached to the module doesn't participate in.</li></ul>,https://developers.line.biz/en/reference/partner-docs/#acquire-control-api
partner-docs,endpoint-error,Acquire Control API,423,Another channel has acquired the initiative (Chat Control) within a certain period of time (a few seconds or so).,https://developers.line.biz/en/reference/partner-docs/#acquire-control-api
partner-docs,endpoint-error,Release Control API,400,An invalid ID is specified in the chatId parameter.,https://developers.line.biz/en/reference/partner-docs/#release-control-api
partner-docs,endpoint-error,Get a list of bots to which the module is attached,400,An invalid continuation token is specified.,https://developers.line.biz/en/reference/partner-docs/#get-a-list-of-bots-to-which-the-module-is-attached
