api,category,title,method,host,path,query_params,auth,rate_limit,operation_id,spec,description,doc_url
messaging-api,Multi-person chats,Get multi-person chat member profile,GET,https://api.line.me,/v2/bot/room/{roomId}/member/{userId},,channel access token,"2,000 requests per second",getRoomMemberProfile,messaging-api.yml,Get multi-person chat member profile,https://developers.line.biz/en/reference/messaging-api/#get-multi-person-chat-member-profile
messaging-api,Multi-person chats,Get number of users in a multi-person chat,GET,https://api.line.me,/v2/bot/room/{roomId}/members/count,,channel access token,"2,000 requests per second",getRoomMemberCount,messaging-api.yml,Get number of users in a multi-person chat,https://developers.line.biz/en/reference/messaging-api/#get-number-of-users-in-a-multi-person-chat
messaging-api,Multi-person chats,Get multi-person chat member user IDs,GET,https://api.line.me,/v2/bot/room/{roomId}/members/ids,,channel access token,"2,000 requests per second",getRoomMembersIds,messaging-api.yml,Get multi-person chat member user IDs,https://developers.line.biz/en/reference/messaging-api/#get-multi-person-chat-member-user-ids
messaging-api,Rich menu,Clear default rich menu,DELETE,https://api.line.me,/v2/bot/user/all/richmenu,,channel access token,"2,000 requests per second",cancelDefaultRichMenu,messaging-api.yml,Cancel default rich menu,https://developers.line.biz/en/reference/messaging-api/#clear-default-rich-menu
messaging-api,Rich menu,Get default rich menu ID,GET,https://api.line.me,/v2/bot/user/all/richmenu,,channel access token,"2,000 requests per second",getDefaultRichMenuId,messaging-api.yml,Gets the ID of the default rich menu set with the Messaging API.,https://developers.line.biz/en/reference/messaging-api/#get-default-rich-menu-id
messaging-api,Rich menu,Set default rich menu,POST,https://api.line.me,/v2/bot/user/all/richmenu/{richMenuId},,channel access token,"2,000 requests per second",setDefaultRichMenu,messaging-api.yml,Set default rich menu,https://developers.line.biz/en/reference/messaging-api/#set-default-rich-menu
messaging-api,Account link,Issue link token,POST,https://api.line.me,/v2/bot/user/{userId}/linkToken,,channel access token,,issueLinkToken,messaging-api.yml,Issue link token,https://developers.line.biz/en/reference/messaging-api/#issue-link-token
messaging-api,Per-user rich menu,Unlink rich menu from user,DELETE,https://api.line.me,/v2/bot/user/{userId}/richmenu,,channel access token,"2,000 requests per second",unlinkRichMenuIdFromUser,messaging-api.yml,Unlink rich menu from user,https://developers.line.biz/en/reference/messaging-api/#unlink-rich-menu-from-user
messaging-api,Per-user rich menu,Get rich menu ID of user,GET,https://api.line.me,/v2/bot/user/{userId}/richmenu,,channel access token,"2,000 requests per second",getRichMenuIdOfUser,messaging-api.yml,Get rich menu ID of user,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-id-of-user
messaging-api,Per-user rich menu,Link rich menu to user,POST,https://api.line.me,/v2/bot/user/{userId}/richmenu/{richMenuId},,channel access token,"2,000 requests per second",linkRichMenuIdToUser,messaging-api.yml,Link rich menu to user.,https://developers.line.biz/en/reference/messaging-api/#link-rich-menu-to-user
messaging-api,Channel access token,Issue short-lived channel access token,POST,https://api.line.me,/v2/oauth/accessToken,,channel ID + channel secret,370 requests per second,issueChannelToken,channel-access-token.yml,Issue short-lived channel access token,https://developers.line.biz/en/reference/messaging-api/#issue-short-lived-channel-access-token
messaging-api,Channel access token,Revoke short-lived or long-lived channel access token,POST,https://api.line.me,/v2/oauth/revoke,,channel ID + channel secret,,revokeChannelToken,channel-access-token.yml,Revoke short-lived or long-lived channel access token,https://developers.line.biz/en/reference/messaging-api/#revoke-short-lived-or-long-lived-channel-access-token
messaging-api,Channel access token,Verify the validity of short-lived and long-lived channel access tokens,POST,https://api.line.me,/v2/oauth/verify,,channel ID + channel secret,,verifyChannelToken,channel-access-token.yml,Verify the validity of short-lived and long-lived channel access tokens,https://developers.line.biz/en/reference/messaging-api/#verify-the-validity-of-short-lived-and-long-lived-channel-access-tokens
partner-docs,Module,Attach by operation of the module channel provider,POST,https://manager.line.biz,/module/auth/v1/token,,channel access token,,attachModule,module-attach.yml,Attach by operation of the module channel provider,https://developers.line.biz/en/reference/partner-docs/#attach-by-operation-of-the-module-channel-provider
partner-docs,Mission Sticker API,Provide mission stickers to the users,POST,https://api.line.me,/shop/v3/mission,,channel access token,,missionStickerV3,shop.yml,Sends a mission sticker.,https://developers.line.biz/en/reference/partner-docs/#provide-mission-stickers-to-the-users
partner-docs,Module,Unlink (detach) the module channel by the operation of the module channel administrator,POST,https://api.line.me,/v2/bot/channel/detach,,channel access token,"2,000 requests per second",detachModule,module.yml,The module channel admin calls the Detach API to detach the module channel from a LINE Official Account.,https://developers.line.biz/en/reference/partner-docs/#unlink-detach-the-module-channel-by-the-operation-of-the-module-channel-administrator
partner-docs,Module,Acquire Control API,POST,https://api.line.me,/v2/bot/chat/{chatId}/control/acquire,,channel access token,"2,000 requests per second",acquireChatControl,module.yml,"If the Standby Channel wants to take the initiative (Chat Control), it calls the Acquire Control API. The channel that was previously an Active Channel will automatically switch to a Standby Channel.",https://developers.line.biz/en/reference/partner-docs/#acquire-control-api
partner-docs,Module,Release Control API,POST,https://api.line.me,/v2/bot/chat/{chatId}/control/release,,channel access token,"2,000 requests per second",releaseChatControl,module.yml,"To return the initiative (Chat Control) of Active Channel to Primary Channel, call the Release Control API.",https://developers.line.biz/en/reference/partner-docs/#release-control-api
partner-docs,Module,Get a list of bots to which the module is attached,GET,https://api.line.me,/v2/bot/list,"limit,start",channel access token,"2,000 requests per second",getModules,module.yml,Gets a list of basic information about the bots of multiple LINE Official Accounts that have attached module channels.,https://developers.line.biz/en/reference/partner-docs/#get-a-list-of-bots-to-which-the-module-is-attached
partner-docs,Mark as read API (old),Mark messages from users as read,POST,https://api.line.me,/v2/bot/message/markAsRead,,channel access token,"2,000 requests per second",markMessagesAsRead,messaging-api.yml,Mark messages from users as read,https://developers.line.biz/en/reference/partner-docs/#mark-messages-from-users-as-read
